Date,Start_destination,End_destination,Am_timings,Midday_timings,Evening_timings,Mid_nigh_timings
2020-04-21,Ashirvad Colony,Muneshwara Block,18,40,25,28
2022-05-01,Udaya Nagar,Hennur,18,35,25,20
2020-12-30,Thyagaraja Nagar,New Gurappana Palya,19,30,27,17
2021-12-08,A Narayanapura,Neelasandra,17,30,28,13
2020-04-06,Neeladri Nagar,Thathaguni,19,31,29,11
2022-02-09,Talaghattapura,Ragavendra Nagar-Sunkadakatte,16,34,26,29
2021-09-02,Vagata,Sadanandanagar,17,32,30,27
2020-06-25,Kurudusonnenahalli,Allalasandra,14,35,28,25
2022-04-05,Raj Bhavan Road,Narayana Nagar 1st Block,12,40,27,23
2020-07-15,Sadanandanagar,Vittal Mallya Road,16,32,27,21
2021-10-09,R V Niketan,Lakkasandra,14,40,27,13
2022-04-22,Yarab Nagar,Chickpet,17,28,26,12
2020-04-23,Varanasi,MEI Layout,15,36,30,20
2020-09-09,Devarachikkanahalli,Nagamangala,15,29,25,11
2022-02-20,Raja Rajeshwari Nagar,Mosque Road,19,39,26,12
2020-12-16,Yelahanka Airforce Road,Thimmapura,15,29,27,13
2021-08-16,Venkatala,Whitefield,19,34,30,10
2020-09-19,Muneshwara Block,Jakkur,14,37,27,12
2020-05-31,AGS Layout,Kundalahalli,14,30,26,17
2020-03-23,Averahalli,Addiganahalli,19,31,30,14
2021-07-20,Mathrushree Layout,Lakshmidevipura,15,34,28,25
2022-05-29,Ramamurthy Nagar,Vasanthapura Main Road,14,28,30,20
2021-04-16,Samruddi Layout,Teacher’s Colony,14,33,27,30
2021-10-16,Nanjappa Layout,Hongasandra,14,40,28,19
2021-05-19,Laggere Bridge,Thyagaraja Nagar,15,30,28,25
2020-06-12,Visthar,V Nagenahalli,19,33,28,11
2022-01-01,Thidlu,Laggere,14,29,26,21
2020-08-14,Milk Colony,Thammenahalli,20,32,30,20
2020-11-10,Ravuthanahalli,Attibele,17,38,26,28
2022-04-19,Manorayana Palya,Vaishnavi Layout,15,28,30,21
2020-12-09,Anagalapura,Tunganagara,15,39,25,14
2021-07-22,Sanjay Nagar,Koramangala 7th Block,16,39,30,18
2022-01-31,St Marks Road,CV Raman Nagar,20,33,25,26
2020-11-30,Muneshwara Layout,Umar Nagar,19,25,30,24
2020-10-26,Pillahalli,Marsur,20,39,30,21
2022-03-17,Pampamahakavi Road,Koramangala 5th Block,20,32,25,21
2020-04-03,Kadugodi,Machohalli,15,39,30,12
2021-11-06,Whitefield,Medihalli,19,26,27,25
2020-05-01,Varthur Kodi,Queens Road,15,36,28,30
2021-10-23,Padmeshwari Nagar,Narayana Nagar 2nd Block,12,28,25,15
2020-05-25,Thippasandra,Yelachenahalli,13,27,29,14
2020-02-17,Manchenahalli,Annaiah Reddy Layout-JP Nagar,18,31,28,29
2022-03-06,Avalahalli-Huskuru,Shivaji Nagar,12,31,26,22
2020-10-11,Maragondanahalli Main Road,Sadanandanagar,19,30,29,25
2020-05-30,Bidadi,Hulimavu,20,34,26,18
2020-02-01,Tumkur Road,Yerappanahalli,18,25,26,21
2022-03-27,Atmananda Colony,Nandini Layout,13,29,27,10
2022-05-13,Razack Palya,State Bank of India Colony,18,25,29,28
2020-04-29,Harlur,Outer Ring Road-Banaswadi,16,37,30,19
2021-04-24,P&T Layout-Thanisandra,Thimmapura,13,27,27,28
2022-05-27,Ashwath Nagar,Basavanagudi,16,38,26,26
2021-04-30,Victoria Layout,S.T. Bed,19,39,29,11
2020-08-24,Thattekuppe,LB Shastri Nagar,16,29,25,10
2022-01-11,Maragondanahalli Main Road,Mookambika Nagar,13,29,28,27
2020-12-22,Devarachikkanahalli,Ashok Nagar,15,37,25,18
2021-06-28,Anandapura,Magrath Road,13,28,27,23
2022-03-13,ACL Layout,Kumaraswamy Layout,19,37,29,20
2020-06-23,Azad Nagar,Panathur,12,36,26,28
2021-03-20,Madavara,AECS Layout,18,33,27,12
2020-09-11,Thubarahalli,Mahalakshmi Layout,14,40,30,10
2021-07-14,Aga Abbas Ali Road,Yekadantha Layout,12,36,26,23
2020-09-18,Pampamahakavi Road,Sarjapur Road,20,26,29,17
2020-05-08,Nagamangala,Austin Town,20,40,25,13
2021-05-15,Marsandra-Anagalapura,Kothanur,15,35,25,11
2021-05-08,Old Byappanahalli,Attiguppe,14,38,27,21
2020-10-20,Thyamagondlu,Mayaghanahalli,14,27,29,28
2022-03-04,AMCO Colony,BTM Layout,14,25,27,19
2021-12-15,Nagamuneshwara Layout,Valepura,12,40,25,12
2021-12-21,Naidu Layout,Kumara Park East,14,30,26,18
2021-08-25,Subramanyanagar,Pottery Town,19,35,26,27
2020-12-08,Muthusandra,Tavarekere-BTM,18,36,30,27
2021-02-27,Guttahalli,Tapsihalli,18,34,26,18
2021-10-25,Vidhana Soudha,Sunkadakatte,14,30,28,20
2021-10-24,Vidyapeeta Layout,Neraluru,20,36,27,22
2022-01-02,KR Puram,Thirumenahalli,17,31,30,15
2022-03-02,Pattandur Agrahara,Adugodi,18,35,29,28
2021-12-14,Whitefield,Lakshminarayana Pura,14,38,30,11
2022-04-14,Nallurhalli,Rest House Road,16,34,29,13
2020-04-06,NICE Road,OMBR Layout,17,40,26,28
2020-03-06,Parappana Agrahara,Lakkasandra Extension,18,36,29,18
2021-10-21,Subbaiyapalya,Thyagaraja Nagar,18,32,29,20
2021-08-23,Aga Abbas Ali Road,Lakshminarayana Pura,17,40,28,27
2022-01-09,Kudlu Gate,Munnekollal,14,32,25,16
2020-02-13,Narayanaghatta,Poojena Agrahara,19,40,27,19
2021-12-11,Seshadripuram,Old Madras Road,12,38,30,23
2020-07-12,Nisarga layout,Dommasandra,16,39,25,27
2021-12-14,Aga Abbas Ali Road,Millers Road,20,33,30,30
2022-03-28,Nelamangala – Chikkaballapura Road,Yelahanka,13,25,27,22
2022-02-25,Srinivaspur,Paradise Colony,17,32,25,28
2020-03-10,Arasanakunte,Anjanapura 2nd block,15,40,28,30
2021-01-16,Thippasandra,V Nagenahalli,14,28,30,19
2020-04-18,St. Johns Road,Madavara,18,26,26,26
2022-01-06,Amrita Nagar,Anjana Nagar,15,26,26,22
2021-12-07,Ulsoor,LB Shastri Nagar,14,27,28,16
2020-12-18,Magadi Road,Raghavendra Nagar-Kalkere,12,27,25,27
2020-05-22,Madhura Nagar,Narayanapura,16,40,27,24
2020-02-13,Madhava Nagar,Whitefield Road,17,38,26,27
2021-08-11,Poorna Pragna Layout,Laggere,12,29,25,24
2021-10-24,Basaveshwara Nagar,Patel Narayanswamy Layout,13,28,25,29
2022-04-21,Vagata,Richard’s Park,20,33,28,29
2020-10-05,Nimbekaipura,Hongasandra,18,30,26,12
2020-07-24,Udaypura,Vishweshwarapura,13,36,28,29
2020-12-28,Maruthi Nagar,Kaval Byrasandra,20,35,25,28
2021-07-26,Lottegollahalli,Ashta Laxmi Layout,12,38,28,25
2020-09-05,Dasarahalli Hebbal,S.Bingipura,19,31,29,22
2022-03-13,Mission Road,Babusa Palya,12,33,30,27
2021-04-21,Mudalapalya,Peresandra,14,30,30,23
2022-04-24,Mylasandra,Maruthi Nagar,20,31,28,17
2021-08-17,Pura,Manorayana Palya,16,28,28,20
2021-03-07,Narasimhaswamy Layout,Yeshwanthpur,17,36,29,10
2021-12-25,NGR Layout,Mariyappana Palya,20,32,26,20
2020-03-09,Muthyala Nagar,Muthkur,12,40,27,26
